 (1.264558553696+0.000000000000j)  (18.543751194022-0.000000000013j)
 (2.378918170929+0.000000000000j)  (11.041967407014-0.000000000008j)
 (3.522231340408+0.000000000000j)  (8.677740623190-0.000000000006j)
 (4.623090505600+0.000000000000j)  (7.856543435094-0.000000000006j)
 (5.851037979126+0.000000000000j)  (7.149671119655-0.000000000006j)
 (7.043498277664+0.000000000000j)  (6.551714302295-0.000000000005j)
 (8.168360471725+0.000000000000j)  (6.274895187735-0.000000000004j)
 (9.340312480927+0.000000000000j)  (6.115081811179-0.000000000004j)
 (10.629253625870+0.000000000000j)  (6.018016450083-0.000000000003j)
 (11.757535457611+0.000000000000j)  (5.957463167410-0.000000000003j)
 (12.873459815979+0.000000000000j)  (5.904071668368-0.000000000003j)
 (14.020555496216+0.000000000000j)  (5.859211953170-0.000000000003j)
 (15.213387489319+0.000000000000j)  (5.823882190778-0.000000000002j)
 (16.480866670609+0.000000000000j)  (5.801416779593-0.000000000002j)
 (17.700281143188+0.000000000000j)  (5.801368290589-0.000000000002j)
 (18.826913356781+0.000000000000j)  (5.778210028347-0.000000000001j)
 (19.936330318451+0.000000000000j)  (5.786993117192-0.000000000001j)
 (21.305489063263+0.000000000000j)  (5.771300020161-0.000000000001j)
 (22.555097579956+0.000000000000j)  (5.773386372758-0.000000000001j)
 (23.732846736908+0.000000000000j)  (5.773325996342-0.000000000001j)
 (24.895804405212+0.000000000000j)  (5.771094524103-0.000000000001j)
 (26.203549146652+0.000000000000j)  (5.768218038157-0.000000000001j)
 (27.289744138718+0.000000000000j)  (5.770028508049-0.000000000000j)
 (28.426640748978+0.000000000000j)  (5.768924962021-0.000000000000j)
 (29.553111791611+0.000000000000j)  (5.766716322101-0.000000000001j)
 (30.807277679443+0.000000000000j)  (5.766475848291-0.000000000000j)
 (31.905410289764+0.000000000000j)  (5.766117537710-0.000000000000j)
 (33.154215574265+0.000000000000j)  (5.761498646258-0.000000000000j)
 (34.366615533829+0.000000000000j)  (5.762738184612-0.000000000000j)
 (35.601507186890+0.000000000000j)  (5.763426894204-0.000000000000j)
 (36.780875205994+0.000000000000j)  (5.762799783260-0.000000000000j)
 (37.872478246689+0.000000000000j)  (5.763720093412-0.000000000000j)
 (38.981710672379+0.000000000000j)  (5.763383270315-0.000000000000j)
 (40.209048748016+0.000000000000j)  (5.761876513771-0.000000000000j)
 (41.534441709518+0.000000000000j)  (5.761879438534-0.000000000000j)
 (42.764739274979+0.000000000000j)  (5.758762998324-0.000000000000j)
 (43.911656618118+0.000000000000j)  (5.761028120770-0.000000000000j)
 (45.041490554810+0.000000000000j)  (5.761263124573-0.000000000000j)
 (46.271748781204+0.000000000000j)  (5.761459712403-0.000000000000j)
 (47.464645862579+0.000000000000j)  (5.760771807397-0.000000000000j)
 (48.633847713470+0.000000000000j)  (5.760333040909-0.000000000000j)
 (49.769441366196+0.000000000000j)  (5.760607211738-0.000000000000j)
 (51.016486883163+0.000000000000j)  (5.760556568089+0.000000000000j)
 (52.181267499924+0.000000000000j)  (5.760113962131-0.000000000000j)
 (53.333000421524+0.000000000000j)  (5.760288586316-0.000000000000j)
 (54.493751525879+0.000000000000j)  (5.760418065170-0.000000000000j)
 (55.745816707611+0.000000000000j)  (5.760438309615-0.000000000000j)
 (56.861615419388+0.000000000000j)  (5.760398706931+0.000000000000j)
 (57.998607158661+0.000000000000j)  (5.760362276696-0.000000000000j)
 (59.255551338196+0.000000000000j)  (5.759991773309-0.000000000000j)
 (60.543718099594+0.000000000000j)  (5.760117994392+0.000000000000j)
 (61.693466901779+0.000000000000j)  (5.760088444923+0.000000000000j)
 (62.834536314011+0.000000000000j)  (5.759894285395-0.000000000000j)
 (63.966657400131+0.000000000000j)  (5.759972071405-0.000000000000j)
 (65.087605237961+0.000000000000j)  (5.759982003781-0.000000000000j)
 (66.284869670868+0.000000000000j)  (5.760033039020-0.000000000000j)
 (67.462515592575+0.000000000000j)  (5.759882377332-0.000000000000j)
 (68.607451915741+0.000000000000j)  (5.759914970099+0.000000000000j)
